Ticker,Drawdown Start,Recovery Start,Recovery Days
ALK,2016-05-19,2016-11-07,172
ALK,2017-08-18,2018-09-18,396
ALK,2019-02-15,2019-07-17,152
ALK,2020-03-05,2020-11-09,249
ALK,2021-08-19,2023-01-19,518
ALK,2023-04-19,2023-06-22,64
ALK,2023-09-18,2024-04-22,217
ALL,2010-10-18,2010-10-25,7
ALL,2011-07-14,2012-02-02,203
ALL,2015-07-02,2016-03-21,263
ALL,2018-04-13,2018-04-24,11
ALL,2018-06-13,2018-09-07,86
ALL,2018-11-27,2019-03-29,122
ALL,2020-04-02,2020-12-07,249
ALL,2021-11-22,2022-03-24,122
ALL,2022-08-18,2022-10-11,54
ALL,2023-03-24,2023-11-01,222
ALT,2018-03-13,2020-03-12,730
ALT,2020-12-17,2021-02-08,53
ALT,2021-04-22,2021-06-28,67
ALT,2021-07-02,2022-07-21,384
ALT,2023-03-23,2023-12-26,278
ALX,2011-08-08,2011-08-16,8
ALX,2011-09-29,2012-03-15,168
ALX,2013-05-01,2013-11-25,208
ALX,2015-06-22,2016-04-05,288
ALX,2017-12-12,2018-07-06,206
ALX,2018-08-09,2019-03-11,214
ALX,2019-10-14,2020-12-07,420
ALX,2021-08-30,2021-11-12,74
ALX,2022-01-10,2022-12-21,345
ALX,2023-03-07,2023-11-06,244
AMA,2011-04-19,2011-10-28,192
AMA,2012-08-01,2012-10-03,63
AMA,2012-10-12,2012-12-07,56
AMA,2013-04-08,2013-06-20,73
AMA,2013-08-05,2014-12-05,487
AMA,2015-03-16,2015-06-10,86
AMC,2015-09-16,2016-04-19,216
AMC,2017-04-06,2018-04-16,375
AMC,2018-12-28,2020-09-30,642
AMC,2020-10-29,2021-02-18,112
AMD,2010-10-18,2011-01-05,79
AMD,2011-07-08,2012-03-01,237
AMD,2012-07-02,2013-05-17,319
AMD,2013-12-18,2014-01-13,26
AMD,2014-02-12,2014-02-27,15
AMD,2014-03-28,2014-04-07,10
AMD,2014-10-03,2015-12-22,445
AMD,2017-11-08,2018-06-12,216
AMD,2021-04-21,2021-07-28,98
AMD,2022-03-28,2023-03-16,353
